% mapa: aleatorio; distribuicao: continuo; 0d 10h40
*vertices 10
%1 "pessoa0"% casa0 trabalho0
%2 "pessoa1"% casa0 trabalho0
%3 "pessoa2"% casa1 trabalho0
%4 "pessoa3"% casa1 trabalho1
%5 "pessoa4"% casa2 trabalho1
%6 "pessoa5"% casa2 trabalho1
%7 "pessoa6"% casa3 trabalho2
%8 "pessoa7"% casa3 trabalho2
%9 "pessoa8"% casa4 trabalho2
%10 "pessoa9"% casa4 trabalho3
%*matrix
;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9;
p0;0;0;0;0;0;0;0;0;0;0;
p1;0;0;0;0;0;0;0;0;0;0;
p2;0;0;0;0;0;0;0;0;0;0;
p3;0;0;0;0;0;0;0;0;0;0;
p4;0;0;0;0;0;0;0;0;0;0;
p5;0;0;0;0;0;0;0;0;0;0;
p6;0;0;0;0;0;0;0;0;0;0;
p7;0;0;0;0;0;0;0;0;0;0;
p8;0;0;0;0;0;0;0;0;0;0;
p9;0;0;0;0;0;0;0;0;0;0;
